month,business_unit,total_cost,is_prediction
2025-05,Site Reliability Engineering - COGS,30475.0,False
2025-06,Site Reliability Engineering - COGS,31124.0,False
2025-07,Site Reliability Engineering - COGS,33594.0,False
2025-08,Site Reliability Engineering - COGS,43485.0,False
2025-09,Site Reliability Engineering - COGS,41304.46428571428,True
2025-10,Site Reliability Engineering - COGS,43824.84523809524,True
2025-11,Site Reliability Engineering - COGS,46345.22619047619,True
2025-12,Site Reliability Engineering - COGS,48865.607142857145,True
2025-01,Decisions Platform COGS,16274.0,False
2025-02,Decisions Platform COGS,16231.0,False
2025-03,Decisions Platform COGS,19904.0,False
2025-04,Decisions Platform COGS,20838.0,False
2025-05,Decisions Platform COGS,24094.0,False
2025-06,Decisions Platform COGS,24286.0,False
2025-07,Decisions Platform COGS,25272.0,False
2025-08,Decisions Platform COGS,28306.0,False
2025-09,Decisions Platform COGS,29713.0,True
2025-10,Decisions Platform COGS,31449.083333333336,True
2025-11,Decisions Platform COGS,33185.16666666667,True
2025-12,Decisions Platform COGS,34921.25000000001,True
2025-01,Tenant and Sharding Platform_COGS,187081.0,False
2025-02,Tenant and Sharding Platform_COGS,166544.0,False
2025-03,Tenant and Sharding Platform_COGS,129651.0,False
2025-04,Tenant and Sharding Platform_COGS,134967.0,False
2025-05,Tenant and Sharding Platform_COGS,140074.0,False
2025-06,Tenant and Sharding Platform_COGS,141437.0,False
2025-07,Tenant and Sharding Platform_COGS,145086.0,False
2025-08,Tenant and Sharding Platform_COGS,166917.0,False
2025-09,Tenant and Sharding Platform_COGS,99395.26441845504,True
2025-10,Tenant and Sharding Platform_COGS,85188.79574634666,True
2025-11,Tenant and Sharding Platform_COGS,70982.32707423829,True
2025-12,Tenant and Sharding Platform_COGS,56775.85840212991,True
2025-01,Development Tooling - COGS,556.0,False
2025-02,Development Tooling - COGS,3.0,False
2025-03,Development Tooling - COGS,1.0,False
2025-05,Development Tooling - COGS,13.0,False
2025-06,Development Tooling - COGS,26.0,False
2025-07,Development Tooling - COGS,35.0,False
2025-08,Development Tooling - COGS,12.0,False
2025-09,Development Tooling - COGS,0.0,True
2025-10,Development Tooling - COGS,0.0,True
2025-11,Development Tooling - COGS,0.0,True
2025-12,Development Tooling - COGS,0.0,True
2025-01,Engineering-AI COGS,1372181.0,False
2025-02,Engineering-AI COGS,1410604.0,False
2025-03,Engineering-AI COGS,1850776.0,False
2025-04,Engineering-AI COGS,1893415.0,False
2025-05,Engineering-AI COGS,2050341.0,False
2025-06,Engineering-AI COGS,2306013.0,False
2025-07,Engineering-AI COGS,2288185.0,False
2025-08,Engineering-AI COGS,2448697.0,False
2025-09,Engineering-AI COGS,2672856.178571428,True
2025-10,Engineering-AI COGS,2832929.4404761903,True
2025-11,Engineering-AI COGS,2993002.7023809524,True
2025-12,Engineering-AI COGS,3153075.9642857146,True
2025-01,CDS Data Platform - COGS,858856.0,False
2025-02,CDS Data Platform - COGS,833408.0,False
2025-03,CDS Data Platform - COGS,1042347.0,False
2025-04,CDS Data Platform - COGS,1021291.0,False
2025-05,CDS Data Platform - COGS,1156792.0,False
2025-06,CDS Data Platform - COGS,1930450.0,False
2025-07,CDS Data Platform - COGS,2407742.0,False
2025-08,CDS Data Platform - COGS,2783495.0,False
2025-09,CDS Data Platform - COGS,2797723.678571428,True
2025-10,CDS Data Platform - COGS,3085151.6904761903,True
2025-11,CDS Data Platform - COGS,3372579.702380952,True
2025-12,CDS Data Platform - COGS,3660007.7142857136,True
2025-01,Engineering-Enterprise Readiness COGS,144244.0,False
2025-02,Engineering-Enterprise Readiness COGS,145924.0,False
2025-03,Engineering-Enterprise Readiness COGS,253699.0,False
2025-04,Engineering-Enterprise Readiness COGS,274012.0,False
2025-05,Engineering-Enterprise Readiness COGS,275675.0,False
2025-06,Engineering-Enterprise Readiness COGS,331836.0,False
2025-07,Engineering-Enterprise Readiness COGS,361386.0,False
2025-08,Engineering-Enterprise Readiness COGS,169438.0,False
2025-09,Engineering-Enterprise Readiness COGS,285013.1034121993,True
2025-10,Engineering-Enterprise Readiness COGS,294690.4379219112,True
2025-11,Engineering-Enterprise Readiness COGS,304367.7724316231,True
2025-12,Engineering-Enterprise Readiness COGS,314045.106941335,True
2025-01,Analytics Platform COGS,876899.0,False
2025-02,Analytics Platform COGS,903285.0,False
2025-03,Analytics Platform COGS,1300531.0,False
2025-04,Analytics Platform COGS,1645823.0,False
2025-05,Analytics Platform COGS,1303040.0,False
2025-06,Analytics Platform COGS,1217525.0,False
2025-07,Analytics Platform COGS,1227864.0,False
2025-08,Analytics Platform COGS,1167623.0,False
2025-09,Analytics Platform COGS,1349871.6051664506,True
2025-10,Analytics Platform COGS,1389960.7568408044,True
2025-11,Analytics Platform COGS,1430049.908515158,True
2025-12,Analytics Platform COGS,1470139.060189512,True
2025-01,Marketplace COGS,15596.0,False
2025-02,Marketplace COGS,13697.0,False
2025-03,Marketplace COGS,14970.0,False
2025-04,Marketplace COGS,14648.0,False
2025-05,Marketplace COGS,15150.0,False
2025-06,Marketplace COGS,16695.0,False
2025-07,Marketplace COGS,16770.0,False
2025-08,Marketplace COGS,17259.0,False
2025-09,Marketplace COGS,17349.0,True
2025-10,Marketplace COGS,17738.083333333332,True
2025-11,Marketplace COGS,18127.166666666668,True
2025-12,Marketplace COGS,18516.25,True
2025-01,Identity COGS,1070337.0,False
2025-02,Identity COGS,1030209.0,False
2025-03,Identity COGS,1063760.0,False
2025-04,Identity COGS,1222588.0,False
2025-05,Identity COGS,1276347.0,False
2025-06,Identity COGS,1177546.0,False
2025-07,Identity COGS,1258848.0,False
2025-08,Identity COGS,1215241.0,False
2025-09,Identity COGS,1301108.071428571,True
2025-10,Identity COGS,1331496.6428571425,True
2025-11,Identity COGS,1361885.2142857139,True
2025-12,Identity COGS,1392273.7857142854,True
2025-01,Dev Infra_COGS,242721.0,False
2025-02,Dev Infra_COGS,251300.0,False
2025-03,Dev Infra_COGS,487783.0,False
2025-04,Dev Infra_COGS,443548.0,False
2025-05,Dev Infra_COGS,299888.0,False
2025-06,Dev Infra_COGS,319218.0,False
2025-07,Dev Infra_COGS,332842.0,False
2025-08,Dev Infra_COGS,396064.0,False
2025-09,Dev Infra_COGS,394709.4655001919,True
2025-10,Dev Infra_COGS,407871.37314505887,True
2025-11,Dev Infra_COGS,421033.2807899259,True
2025-12,Dev Infra_COGS,434195.18843479286,True
2025-01,Infrastructure Svcs-JSM,194950.0,False
2025-02,Infrastructure Svcs-JSM,197036.0,False
2025-03,Infrastructure Svcs-JSM,239932.0,False
2025-04,Infrastructure Svcs-JSM,263863.0,False
2025-05,Infrastructure Svcs-JSM,474448.0,False
2025-06,Infrastructure Svcs-JSM,441500.0,False
2025-07,Infrastructure Svcs-JSM,402679.0,False
2025-08,Infrastructure Svcs-JSM,376906.0,False
2025-09,Infrastructure Svcs-JSM,490906.8928571427,True
2025-10,Infrastructure Svcs-JSM,528016.3690476189,True
